,R,P,V,I,D,T,pol,dush
2078,растения,растении,растение,растение,растению,растением,ср,0.0
2079,растерянности,растерянности,растерянность,растерянность,растерянности,растерянностью,Ж,0.0
2080,расхода,расходе,расход,расход,расходу,расходом,М,0.0
2081,расхождения,расхождении,расхождение,расхождение,расхождению,расхождением,ср,0.0
2082,расцвета,расцвете,расцвет,расцвет,расцвету,расцветом,М,0.0
2083,расчета,расчете,расчет,расчет,расчету,расчетом,М,0.0
2084,расширения,расширении,расширение,расширение,расширению,расширением,ср,0.0
2085,рации,рации,рацию,рация,рации,рацией,Ж,0.0
2086,реабилитации,реабилитации,реабилитацию,реабилитация,реабилитации,реабилитацией,Ж,0.0
2087,реактора,реакторе,реактор,реактор,реактору,реактором,М,0.0
2088,реакции,реакции,реакцию,реакция,реакции,реакцией,Ж,0.0
2089,реализации,реализации,реализацию,реализация,реализации,реализацией,Ж,0.0
2090,реальности,реальности,реальность,реальность,реальности,реальностью,Ж,0.0
2091,ребенка,ребенке,ребенка,ребенок,ребенку,ребенком,М,1.0
2092,ребра,ребре,ребро,ребро,ребру,ребром,ср,0.0
2093,рева,реве,рев,рев,реву,ревом,М,0.0
2094,ревности,ревности,ревность,ревность,ревности,ревностью,Ж,0.0
2095,револьвера,револьвере,револьвер,револьвер,револьверу,револьвером,М,0.0
2096,революционера,революционере,революционера,революционер,революционеру,революционером,М,1.0
2097,революции,революции,революцию,революция,революции,революцией,Ж,0.0
2098,региона,регионе,регион,регион,региону,регионом,М,0.0
2099,регистрации,регистрации,регистрацию,регистрация,регистрации,регистрацией,Ж,0.0
2100,регламента,регламенте,регламент,регламент,регламенту,регламентом,М,0.0
2101,регулирования,регулировании,регулирование,регулирование,регулированию,регулированием,ср,0.0
2102,редактора,редакторе,редактора,редактор,редактору,редактором,М,1.0
2103,редакции,редакции,редакцию,редакция,редакции,редакцией,Ж,0.0
2104,редкого,редком,редкого,редкий,редкому,редким,М,1.0
2105,редкости,редкости,редкость,редкость,редкости,редкостью,Ж,0.0
2106,реестра,реестре,реестр,реестр,реестру,реестром,М,0.0
2107,режима,режиме,режим,режим,режиму,режимом,М,0.0
2108,режиссера,режиссере,режиссера,режиссер,режиссеру,режиссером,М,1.0
2109,резерва,резерве,резерв,резерв,резерву,резервом,М,0.0
2110,резиденции,резиденции,резиденцию,резиденция,резиденции,резиденцией,Ж,0.0
2111,резолюции,резолюции,резолюцию,резолюция,резолюции,резолюцией,Ж,0.0
2112,результата,результате,результат,результат,результату,результатом,М,0.0
2113,рейда,рейде,рейд,рейд,рейду,рейдом,М,0.0
2114,рейса,рейсе,рейс,рейс,рейсу,рейсом,М,0.0
2115,рейтинга,рейтинге,рейтинг,рейтинг,рейтингу,рейтингом,М,0.0
2116,рекомендации,рекомендации,рекомендацию,рекомендация,рекомендации,рекомендацией,Ж,0.0
2117,реконструкции,реконструкции,реконструкцию,реконструкция,реконструкции,реконструкцией,Ж,0.0
2118,рекорда,рекорде,рекорд,рекорд,рекорду,рекордом,М,0.0
2119,религии,религии,религию,религия,религии,религией,Ж,0.0
2120,рельса,рельсе,рельс,рельс,рельсу,рельсом,М,0.0
2121,ремня,ремне,ремень,ремень,ремню,ремнем,М,0.0
2122,ремесла,ремесле,ремесло,ремесло,ремеслу,ремеслом,ср,0.0
2123,ремонта,ремонте,ремонт,ремонт,ремонту,ремонтом,М,0.0
2124,репетиции,репетиции,репетицию,репетиция,репетиции,репетицией,Ж,0.0
2125,репортажа,репортаже,репортаж,репортаж,репортажу,репортажем,М,0.0
2126,репортера,репортере,репортера,репортер,репортеру,репортером,М,1.0
2127,репутации,репутации,репутацию,репутация,репутации,репутацией,Ж,0.0
2128,ресторана,ресторане,ресторан,ресторан,ресторану,рестораном,М,0.0
2129,ресурса,ресурсе,ресурс,ресурс,ресурсу,ресурсом,М,0.0
2130,референдума,референдуме,референдум,референдум,референдуму,референдумом,М,0.0
2131,рефлекса,рефлексе,рефлекс,рефлекс,рефлексу,рефлексом,М,0.0
2132,реформирования,реформировании,реформирование,реформирование,реформированию,реформированием,ср,0.0
2133,рецензии,рецензии,рецензию,рецензия,рецензии,рецензией,Ж,0.0
2134,рецепта,рецепте,рецепт,рецепт,рецепту,рецептом,М,0.0
2135,речи,речи,речь,речь,речи,речью,Ж,0.0
2136,решения,решении,решение,решение,решению,решением,ср,0.0
2137,решимости,решимости,решимость,решимость,решимости,решимостью,Ж,0.0
2138,риска,риске,риск,риск,риску,риском,М,0.0
2139,рисунка,рисунке,рисунок,рисунок,рисунку,рисунком,М,0.0
2140,ритма,ритме,ритм,ритм,ритму,ритмом,М,0.0
2141,ритуала,ритуале,ритуал,ритуал,ритуалу,ритуалом,М,0.0
2142,робкого,робком,робкого,робкий,робкому,робким,М,1.0
2143,робота,роботе,робота,робот,роботу,роботом,М,1.0
2144,рога,роге,рог,рог,рогу,рогом,М,0.0
2145,рода,роде,род,род,роду,родом,М,0.0
2146,родителя,родителе,родителя,родитель,родителю,родителем,М,1.0
2147,родственника,родственнике,родственника,родственник,родственнику,родственником,М,1.0
2148,родства,родстве,родство,родство,родству,родством,ср,0.0
2149,рождения,рождении,рождение,рождение,рождению,рождением,ср,0.0
2150,рождества,рождестве,рождество,рождество,рождеству,рождеством,ср,0.0
2151,розыска,розыске,розыск,розыск,розыску,розыском,М,0.0
2152,рока,роке,рок,рок,року,роком,М,0.0
2153,ролика,ролике,ролик,ролик,ролику,роликом,М,0.0
2154,роли,роли,роль,роль,роли,ролью,Ж,0.0
2155,романа,романе,роман,роман,роману,романом,М,0.0
2156,роскоши,роскоши,роскошь,роскошь,роскоши,роскошью,Ж,0.0
2157,россии,россии,россию,россия,россии,россией,Ж,0.0
2158,рояля,рояле,рояль,рояль,роялю,роялем,М,0.0
2159,рубежа,рубеже,рубеж,рубеж,рубежу,рубежом,М,0.0
2160,рубля,рубле,рубль,рубль,рублю,рублем,М,0.0
2161,ружья,ружье,ружье,ружье,ружью,ружьем,ср,0.0
2162,рукава,рукаве,рукав,рукав,рукаву,рукавом,М,0.0
2163,руководителя,руководителе,руководителя,руководитель,руководителю,руководителем,М,1.0
2164,руководства,руководстве,руководство,руководство,руководству,руководством,ср,0.0
2165,рукописи,рукописи,рукопись,рукопись,рукописи,рукописью,Ж,0.0
2166,руля,руле,руль,руль,рулю,рулем,М,0.0
2167,русла,русле,русло,русло,руслу,руслом,ср,0.0
2168,руси,руси,русь,русь,руси,русью,Ж,0.0
2169,ручья,ручье,ручей,ручей,ручью,ручьем,М,0.0
2170,рыбака,рыбаке,рыбака,рыбак,рыбаку,рыбаком,М,1.0
2171,рывка,рывке,рывок,рывок,рывку,рывком,М,0.0
2172,рыжего,рыжем,рыжего,рыжий,рыжему,рыжим,М,1.0
2173,рынка,рынке,рынок,рынок,рынку,рынком,М,0.0
2174,рыцаря,рыцаре,рыцаря,рыцарь,рыцарю,рыцарем,М,1.0
2175,рычага,рычаге,рычаг,рычаг,рычагу,рычагом,М,0.0
2176,рюкзака,рюкзаке,рюкзак,рюкзак,рюкзаку,рюкзаком,М,0.0
2177,рядового,рядовом,рядового,рядовой,рядовому,рядовым,М,1.0
2178,садика,садике,садик,садик,садику,садиком,М,0.0
2179,сайта,сайте,сайт,сайт,сайту,сайтом,М,0.0
2180,сала,сале,сало,сало,салу,салом,ср,0.0
2181,салона,салоне,салон,салон,салону,салоном,М,0.0
2182,самолета,самолете,самолет,самолет,самолету,самолетом,М,0.0
2183,самосознания,самосознании,самосознание,самосознание,самосознанию,самосознанием,ср,0.0
2184,самостоятельности,самостоятельности,самостоятельность,самостоятельность,самостоятельности,самостоятельностью,Ж,0.0
2185,самоубийства,самоубийстве,самоубийство,самоубийство,самоубийству,самоубийством,ср,0.0
2186,самоуправления,самоуправлении,самоуправление,самоуправление,самоуправлению,самоуправлением,ср,0.0
2187,самочувствия,самочувствии,самочувствие,самочувствие,самочувствию,самочувствием,ср,0.0
2188,сана,сане,сан,сан,сану,саном,М,0.0
2189,санатория,санатории,санаторий,санаторий,санаторию,санаторием,М,0.0
2190,санкции,санкции,санкцию,санкция,санкции,санкцией,Ж,0.0
2191,сантиметра,сантиметре,сантиметр,сантиметр,сантиметру,сантиметром,М,0.0
2192,сапога,сапоге,сапог,сапог,сапогу,сапогом,М,0.0
2193,сарая,сарае,сарай,сарай,сараю,сараем,М,0.0
2194,сближения,сближении,сближение,сближение,сближению,сближением,ср,0.0
2195,сбоя,сбое,сбой,сбой,сбою,сбоем,М,0.0
2196,сбора,сборе,сбор,сбор,сбору,сбором,М,0.0
2197,сборника,сборнике,сборник,сборник,сборнику,сборником,М,0.0
2198,сбыта,сбыте,сбыт,сбыт,сбыту,сбытом,М,0.0
2199,сведения,сведении,сведение,сведение,сведению,сведением,ср,0.0
2200,сведения,сведении,сведение,сведение,сведению,сведением,ср,0.0
2201,свежести,свежести,свежесть,свежесть,свежести,свежестью,Ж,0.0
2202,светофора,светофоре,светофор,светофор,светофору,светофором,М,0.0
2203,светского,светском,светского,светский,светскому,светским,М,1.0
2204,свидания,свидании,свидание,свидание,свиданию,свиданием,ср,0.0
2205,свидетеля,свидетеле,свидетеля,свидетель,свидетелю,свидетелем,М,1.0
2206,свидетельства,свидетельстве,свидетельство,свидетельство,свидетельству,свидетельством,ср,0.0
2207,свиста,свисте,свист,свист,свисту,свистом,М,0.0
2208,свитера,свитере,свитер,свитер,свитеру,свитером,М,0.0
2209,свода,своде,свод,свод,своду,сводом,М,0.0
2210,своего,своем,свое,свое,своему,своим,ср,0.0
2211,свойства,свойстве,свойство,свойство,свойству,свойством,ср,0.0
2212,сволочи,сволочи,сволочь,сволочь,сволочи,сволочью,Ж,1.0
2213,священника,священнике,священника,священник,священнику,священником,М,1.0
2214,сдвига,сдвиге,сдвиг,сдвиг,сдвигу,сдвигом,М,0.0
2215,сеанса,сеансе,сеанс,сеанс,сеансу,сеансом,М,0.0
2216,себестоимости,себестоимости,себестоимость,себестоимость,себестоимости,себестоимостью,Ж,0.0
2217,севера,севере,север,север,северу,севером,М,0.0
2218,сегмента,сегменте,сегмент,сегмент,сегменту,сегментом,М,0.0
2219,седла,седле,седло,седло,седлу,седлом,ср,0.0
2220,сезона,сезоне,сезон,сезон,сезону,сезоном,М,0.0
2221,сейфа,сейфе,сейф,сейф,сейфу,сейфом,М,0.0
2222,секрета,секрете,секрет,секрет,секрету,секретом,М,0.0
2223,секретаря,секретаре,секретаря,секретарь,секретарю,секретарем,М,1.0
2224,секса,сексе,секс,секс,сексу,сексом,М,0.0
2225,сектора,секторе,сектор,сектор,сектору,сектором,М,0.0
2226,секции,секции,секцию,секция,секции,секцией,Ж,0.0
2227,селения,селении,селение,селение,селению,селением,ср,0.0
2228,села,селе,село,село,селу,селом,ср,0.0
2229,семейства,семействе,семейство,семейство,семейству,семейством,ср,0.0
2230,семинара,семинаре,семинар,семинар,семинару,семинаром,М,0.0
2231,семени,семени,семя,семя,семени,семенем,ср,0.0
2232,сена,сене,сен,сен,сену,сеном,М,0.0
2233,сената,сенате,сенат,сенат,сенату,сенатом,М,0.0
2234,сенатора,сенаторе,сенатора,сенатор,сенатору,сенатором,М,1.0
2235,сена,сене,сено,сено,сену,сеном,ср,0.0
2236,сентября,сентябре,сентябрь,сентябрь,сентябрю,сентябрем,М,0.0
2237,сервера,сервере,сервер,сервер,серверу,сервером,М,0.0
2238,сервиса,сервисе,сервис,сервис,сервису,сервисом,М,0.0
2239,сердца,сердце,сердце,сердце,сердцу,сердцем,ср,0.0
2240,серебра,серебре,серебро,серебро,серебру,серебром,ср,0.0
2241,серебряного,серебряном,серебряного,серебряный,серебряному,серебряным,М,1.0
2242,сержанта,сержанте,сержанта,сержант,сержанту,сержантом,М,1.0
2243,сериала,сериале,сериал,сериал,сериалу,сериалом,М,0.0
2244,серии,серии,серию,серия,серии,серией,Ж,0.0
2245,сертификата,сертификате,сертификат,сертификат,сертификату,сертификатом,М,0.0
2246,серьезности,серьезности,серьезность,серьезность,серьезности,серьезностью,Ж,0.0
2247,сессии,сессии,сессию,сессия,сессии,сессией,Ж,0.0
2248,сигнала,сигнале,сигнал,сигнал,сигналу,сигналом,М,0.0
2249,сидения,сидении,сидение,сидение,сидению,сидением,ср,0.0
2250,сиденья,сиденье,сиденье,сиденье,сиденью,сиденьем,ср,0.0
2251,силуэта,силуэте,силуэт,силуэт,силуэту,силуэтом,М,0.0
2252,символа,символе,символ,символ,символу,символом,М,0.0
2253,симпатии,симпатии,симпатию,симпатия,симпатии,симпатией,Ж,0.0
2254,симптома,симптоме,симптом,симптом,симптому,симптомом,М,0.0
2255,синдрома,синдроме,синдром,синдром,синдрому,синдромом,М,0.0
2256,синтеза,синтезе,синтез,синтез,синтезу,синтезом,М,0.0
2257,синяка,синяке,синяк,синяк,синяку,синяком,М,0.0
2258,ситуации,ситуации,ситуацию,ситуация,ситуации,ситуацией,Ж,0.0
2259,сияния,сиянии,сияние,сияние,сиянию,сиянием,ср,0.0
2260,скандала,скандале,скандал,скандал,скандалу,скандалом,М,0.0
2261,скатерти,скатерти,скатерть,скатерть,скатерти,скатертью,Ж,0.0
2262,скачка,скачке,скачок,скачок,скачку,скачком,М,0.0
2263,скелета,скелете,скелет,скелет,скелету,скелетом,М,0.0
2264,склона,склоне,склон,склон,склону,склоном,М,0.0
2265,склонности,склонности,склонность,склонность,склонности,склонностью,Ж,0.0
2266,скопления,скоплении,скопление,скопление,скоплению,скоплением,ср,0.0
2267,скорби,скорби,скорбь,скорбь,скорби,скорбью,Ж,0.0
2268,скорости,скорости,скорость,скорость,скорости,скоростью,Ж,0.0
2269,скорого,скором,скорый,скорый,скорому,скорым,М,0.0
2270,скрипа,скрипе,скрип,скрип,скрипу,скрипом,М,0.0
2271,скромности,скромности,скромность,скромность,скромности,скромностью,Ж,0.0
2272,слабости,слабости,слабость,слабость,слабости,слабостью,Ж,0.0
2273,сладости,сладости,сладость,сладость,сладости,сладостью,Ж,0.0
2274,следования,следовании,следование,следование,следованию,следованием,ср,0.0
2275,следователя,следователе,следователя,следователь,следователю,следователем,М,1.0
2276,следствия,следствии,следствие,следствие,следствию,следствием,ср,0.0
2277,слияния,слиянии,слияние,слияние,слиянию,слиянием,ср,0.0
2278,словаря,словаре,словарь,словарь,словарю,словарем,М,0.0
2279,слова,слове,слово,слово,слову,словом,ср,0.0
2280,слога,слоге,слог,слог,слогу,слогом,М,0.0
2281,сложности,сложности,сложность,сложность,сложности,сложностью,Ж,0.0
2282,слоя,слое,слой,слой,слою,слоем,М,0.0
2283,слона,слоне,слона,слон,слону,слоном,М,1.0
2284,служения,служении,служение,служение,служению,служением,ср,0.0
2285,служителя,служителе,служителя,служитель,служителю,служителем,М,1.0
2286,случая,случае,случай,случай,случаю,случаем,М,0.0
2287,случайности,случайности,случайность,случайность,случайности,случайностью,Ж,0.0
2288,слушания,слушании,слушание,слушание,слушанию,слушанием,ср,0.0
2289,слушателя,слушателе,слушателя,слушатель,слушателю,слушателем,М,1.0
2290,смелости,смелости,смелость,смелость,смелости,смелостью,Ж,0.0
2291,смертности,смертности,смертность,смертность,смертности,смертностью,Ж,0.0
2292,смерти,смерти,смерть,смерть,смерти,смертью,Ж,0.0
2293,смеси,смеси,смесь,смесь,смеси,смесью,Ж,0.0
2294,смещения,смещении,смещение,смещение,смещению,смещением,ср,0.0
2295,смущения,смущении,смущение,смущение,смущению,смущением,ср,0.0
2296,смысла,смысле,смысл,смысл,смыслу,смыслом,М,0.0
2297,снабжения,снабжении,снабжение,снабжение,снабжению,снабжением,ср,0.0
2298,снайпера,снайпере,снайпера,снайпер,снайперу,снайпером,М,1.0
2299,снаряда,снаряде,снаряд,снаряд,снаряду,снарядом,М,0.0
2300,снаряжения,снаряжении,снаряжение,снаряжение,снаряжению,снаряжением,ср,0.0
2301,снижения,снижении,снижение,снижение,снижению,снижением,ср,0.0
2302,снимка,снимке,снимок,снимок,снимку,снимком,М,0.0
2303,сновидения,сновидении,сновидение,сновидение,сновидению,сновидением,ср,0.0
2304,снятия,снятии,снятие,снятие,снятию,снятием,ср,0.0
2305,собеседника,собеседнике,собеседника,собеседник,собеседнику,собеседником,М,1.0
2306,собеседования,собеседовании,собеседование,собеседование,собеседованию,собеседованием,ср,0.0
2307,соблазна,соблазне,соблазн,соблазн,соблазну,соблазном,М,0.0
2308,соблюдения,соблюдении,соблюдение,соблюдение,соблюдению,соблюдением,ср,0.0
2309,собора,соборе,собор,собор,собору,собором,М,0.0
2310,собрания,собрании,собрание,собрание,собранию,собранием,ср,0.0
2311,собрата,собрате,собрата,собрат,собрату,собратом,М,1.0
2312,собственности,собственности,собственность,собственность,собственности,собственностью,Ж,0.0
2313,события,событии,событие,событие,событию,событием,ср,0.0
2314,совершения,совершении,совершение,совершение,совершению,совершением,ср,0.0
2315,совершенства,совершенстве,совершенство,совершенство,совершенству,совершенством,ср,0.0
2316,совершенствования,совершенствовании,совершенствование,совершенствование,совершенствованию,совершенствованием,ср,0.0
2317,совести,совести,совесть,совесть,совести,совестью,Ж,0.0
2318,совета,совете,совет,совет,совету,советом,М,0.0
2319,советника,советнике,советника,советник,советнику,советником,М,1.0
2320,совещания,совещании,совещание,совещание,совещанию,совещанием,ср,0.0
2321,совокупности,совокупности,совокупность,совокупность,совокупности,совокупностью,Ж,0.0
2322,совпадения,совпадении,совпадение,совпадение,совпадению,совпадением,ср,0.0
2323,современника,современнике,современника,современник,современнику,современником,М,1.0
2324,современности,современности,современность,современность,современности,современностью,Ж,0.0
2325,согласия,согласии,согласие,согласие,согласию,согласием,ср,0.0
2326,согласного,согласном,согласный,согласный,согласному,согласным,М,0.0
2327,согласования,согласовании,согласование,согласование,согласованию,согласованием,ср,0.0
2328,соглашения,соглашении,соглашение,соглашение,соглашению,соглашением,ср,0.0
2329,содействия,содействии,содействие,содействие,содействию,содействием,ср,0.0
2330,содержания,содержании,содержание,содержание,содержанию,содержанием,ср,0.0
2331,содержимого,содержимом,содержимое,содержимое,содержимому,содержимым,ср,0.0
2332,соединения,соединении,соединение,соединение,соединению,соединением,ср,0.0
2333,сожаления,сожалении,сожаление,сожаление,сожалению,сожалением,ср,0.0
2334,создания,создании,создание,создание,созданию,созданием,ср,0.0
2335,создателя,создателе,создателя,создатель,создателю,создателем,М,1.0
2336,сознания,сознании,сознание,сознание,сознанию,сознанием,ср,0.0
2337,сокращения,сокращении,сокращение,сокращение,сокращению,сокращением,ср,0.0
2338,сокровища,сокровище,сокровище,сокровище,сокровищу,сокровищем,ср,0.0
2339,солдата,солдате,солдата,солдат,солдату,солдатом,М,1.0
2340,солидарности,солидарности,солидарность,солидарность,солидарности,солидарностью,Ж,0.0
2341,солнца,солнце,солнце,солнце,солнцу,солнцем,ср,0.0
2342,солнышка,солнышке,солнышко,солнышко,солнышку,солнышком,ср,0.0
2343,соли,соли,соль,соль,соли,солью,Ж,0.0
2344,сомнения,сомнении,сомнение,сомнение,сомнению,сомнением,ср,0.0
2345,сна,сне,сон,сон,сну,сном,М,0.0
2346,соображения,соображении,соображение,соображение,соображению,соображением,ср,0.0
2347,сообщения,сообщении,сообщение,сообщение,сообщению,сообщением,ср,0.0
2348,сообщества,сообществе,сообщество,сообщество,сообществу,сообществом,ср,0.0
2349,сооружения,сооружении,сооружение,сооружение,сооружению,сооружением,ср,0.0
2350,соответствия,соответствии,соответствие,соответствие,соответствию,соответствием,ср,0.0
2351,соотечественника,соотечественнике,соотечественника,соотечественник,соотечественнику,соотечественником,М,1.0
2352,соотношения,соотношении,соотношение,соотношение,соотношению,соотношением,ср,0.0
2353,соперника,сопернике,соперника,соперник,сопернику,соперником,М,1.0
2354,сопоставления,сопоставлении,сопоставление,сопоставление,сопоставлению,сопоставлением,ср,0.0
2355,сопровождения,сопровождении,сопровождение,сопровождение,сопровождению,сопровождением,ср,0.0
2356,сопротивления,сопротивлении,сопротивление,сопротивление,сопротивлению,сопротивлением,ср,0.0
2357,соратника,соратнике,соратника,соратник,соратнику,соратником,М,1.0
2358,соревнования,соревновании,соревнование,соревнование,соревнованию,соревнованием,ср,0.0
2359,сорта,сорте,сорт,сорт,сорту,сортом,М,0.0
2360,сортира,сортире,сортир,сортир,сортиру,сортиром,М,0.0
2361,соседа,соседе,соседа,сосед,соседу,соседом,М,1.0
2362,соседства,соседстве,соседство,соседство,соседству,соседством,ср,0.0
2363,сословия,сословии,сословие,сословие,сословию,сословием,ср,0.0
2364,соска,соске,сосок,сосок,соску,соском,М,0.0
2365,состава,составе,состав,состав,составу,составом,М,0.0
2366,составления,составлении,составление,составление,составлению,составлением,ср,0.0
2367,состояния,состоянии,состояние,состояние,состоянию,состоянием,ср,0.0
2368,сострадания,сострадании,сострадание,сострадание,состраданию,состраданием,ср,0.0
2369,состязания,состязании,состязание,состязание,состязанию,состязанием,ср,0.0
2370,сосуда,сосуде,сосуд,сосуд,сосуду,сосудом,М,0.0
2371,сотни,сотне,сотню,сотня,сотне,сотней,Ж,0.0
2372,сотрудника,сотруднике,сотрудника,сотрудник,сотруднику,сотрудником,М,1.0
2373,сотрудничества,сотрудничестве,сотрудничество,сотрудничество,сотрудничеству,сотрудничеством,ср,0.0
2374,сохранения,сохранении,сохранение,сохранение,сохранению,сохранением,ср,0.0
2375,социализма,социализме,социализм,социализм,социализму,социализмом,М,0.0
2376,социологии,социологии,социологию,социология,социологии,социологией,Ж,0.0
2377,сочетания,сочетании,сочетание,сочетание,сочетанию,сочетанием,ср,0.0
2378,сочинения,сочинении,сочинение,сочинение,сочинению,сочинением,ср,0.0
2379,сочувствия,сочувствии,сочувствие,сочувствие,сочувствию,сочувствием,ср,0.0
2380,союза,союзе,союз,союз,союзу,союзом,М,0.0
2381,союзника,союзнике,союзника,союзник,союзнику,союзником,М,1.0
2382,спада,спаде,спад,спад,спаду,спадом,М,0.0
2383,спальни,спальне,спальню,спальня,спальне,спальней,Ж,0.0
2384,спартака,спартаке,спартак,спартак,спартаку,спартаком,М,0.0
2385,спасения,спасении,спасение,спасение,спасению,спасением,ср,0.0
2386,спасителя,спасителе,спасителя,спаситель,спасителю,спасителем,М,1.0
2387,спектакля,спектакле,спектакль,спектакль,спектаклю,спектаклем,М,0.0
2388,спектра,спектре,спектр,спектр,спектру,спектром,М,0.0
2389,специализации,специализации,специализацию,специализация,специализации,специализацией,Ж,0.0
2390,специалиста,специалисте,специалиста,специалист,специалисту,специалистом,М,1.0
2391,специальности,специальности,специальность,специальность,специальности,специальностью,Ж,0.0
2392,спида,спиде,спид,спид,спиду,спидом,М,0.0
2393,спирали,спирали,спираль,спираль,спирали,спиралью,Ж,0.0
2394,спиртного,спиртном,спиртное,спиртное,спиртному,спиртным,ср,0.0
2395,списка,списке,список,список,списку,списком,М,0.0
2396,спокойствия,спокойствии,спокойствие,спокойствие,спокойствию,спокойствием,ср,0.0
2397,спорта,спорте,спорт,спорт,спорту,спортом,М,0.0
2398,способа,способе,способ,способ,способу,способом,М,0.0
2399,способности,способности,способность,способность,способности,способностью,Ж,0.0
2400,справедливости,справедливости,справедливость,справедливость,справедливости,справедливостью,Ж,0.0
2401,справочника,справочнике,справочник,справочник,справочнику,справочником,М,0.0
2402,сравнения,сравнении,сравнение,сравнение,сравнению,сравнением,ср,0.0
2403,сражения,сражении,сражение,сражение,сражению,сражением,ср,0.0
2404,средневековья,средневековье,средневековье,средневековье,средневековью,средневековьем,ср,0.0
2405,среднего,среднем,среднее,среднее,среднему,средним,ср,0.0
2406,средства,средстве,средство,средство,средству,средством,ср,0.0
2407,срыва,срыве,срыв,срыв,срыву,срывом,М,0.0
2408,стабильности,стабильности,стабильность,стабильность,стабильности,стабильностью,Ж,0.0
2409,стадиона,стадионе,стадион,стадион,стадиону,стадионом,М,0.0
2410,стадии,стадии,стадию,стадия,стадии,стадией,Ж,0.0
2411,стада,стаде,стадо,стадо,стаду,стадом,ср,0.0
2412,стажа,стаже,стаж,стаж,стажу,стажем,М,0.0
2413,стакана,стакане,стакан,стакан,стакану,стаканом,М,0.0
2414,стаканчика,стаканчике,стаканчик,стаканчик,стаканчику,стаканчиком,М,0.0
2415,стали,стали,сталь,сталь,стали,сталью,Ж,0.0
2416,стана,стане,стан,стан,стану,станом,М,0.0
2417,стандарта,стандарте,стандарт,стандарт,стандарту,стандартом,М,0.0
2418,становления,становлении,становление,становление,становлению,становлением,ср,0.0
2419,станка,станке,станок,станок,станку,станком,М,0.0
2420,станции,станции,станцию,станция,станции,станцией,Ж,0.0
2421,старания,старании,старание,старание,старанию,старанием,ср,0.0
2422,старичка,старичке,старичка,старичок,старичку,старичком,М,1.0
2423,старости,старости,старость,старость,старости,старостью,Ж,0.0
2424,старта,старте,старт,старт,старту,стартом,М,0.0
2425,статуса,статусе,статус,статус,статусу,статусом,М,0.0
2426,статуи,статуе,статую,статуя,статуе,статуей,Ж,0.0
2427,стати,стати,стать,стать,стати,статью,Ж,0.0
2428,ствола,стволе,ствол,ствол,стволу,стволом,М,0.0
2429,стекла,стекле,стекло,стекло,стеклу,стеклом,ср,0.0
2430,стенда,стенде,стенд,стенд,стенду,стендом,М,0.0
2431,степени,степени,степень,степень,степени,степенью,Ж,0.0
2432,стереотипа,стереотипе,стереотип,стереотип,стереотипу,стереотипом,М,0.0
2433,стержня,стержне,стержень,стержень,стержню,стержнем,М,0.0
2434,стиля,стиле,стиль,стиль,стилю,стилем,М,0.0
2435,стимулирования,стимулировании,стимулирование,стимулирование,стимулированию,стимулированием,ср,0.0
2436,стипендии,стипендии,стипендию,стипендия,стипендии,стипендией,Ж,0.0
2437,стиха,стихе,стих,стих,стиху,стихом,М,0.0
2438,стихотворения,стихотворении,стихотворение,стихотворение,стихотворению,стихотворением,ср,0.0
2439,ста,стах,сто,сто,стам,стами,ср,0.0
2440,стоимости,стоимости,стоимость,стоимость,стоимости,стоимостью,Ж,0.0
2441,стола,столе,стол,стол,столу,столом,М,0.0
2442,столба,столбе,столб,столб,столбу,столбом,М,0.0
2443,столетия,столетии,столетие,столетие,столетию,столетием,ср,0.0
2444,столика,столике,столик,столик,столику,столиком,М,0.0
2445,столкновения,столкновении,столкновение,столкновение,столкновению,столкновением,ср,0.0
2446,стона,стоне,стон,стон,стону,стоном,М,0.0
2447,страдания,страдании,страдание,страдание,страданию,страданием,ср,0.0
2448,стража,страже,стража,страж,стражу,стражем,М,1.0
2449,странника,страннике,странника,странник,страннику,странником,М,1.0
2450,странности,странности,странность,странность,странности,странностью,Ж,0.0
2451,страсти,страсти,страсть,страсть,страсти,страстью,Ж,0.0
2452,стратегии,стратегии,стратегию,стратегия,стратегии,стратегией,Ж,0.0
2453,страхования,страховании,страхование,страхование,страхованию,страхованием,ср,0.0
2454,стрелка,стрелке,стрелка,стрелок,стрелку,стрелком,М,1.0
2455,стремления,стремлении,стремление,стремление,стремлению,стремлением,ср,0.0
2456,стресса,стрессе,стресс,стресс,стрессу,стрессом,М,0.0
2457,строения,строении,строение,строение,строению,строением,ср,0.0
2458,строителя,строителе,строителя,строитель,строителю,строителем,М,1.0
2459,строительства,строительстве,строительство,строительство,строительству,строительством,ср,0.0
2460,студента,студенте,студента,студент,студенту,студентом,М,1.0
2461,студии,студии,студию,студия,студии,студией,Ж,0.0
2462,стука,стуке,стук,стук,стуку,стуком,М,0.0
2463,стула,стуле,стул,стул,стулу,стулом,М,0.0
2464,ступени,ступени,ступень,ступень,ступени,ступенью,Ж,0.0
2465,стыда,стыде,стыд,стыд,стыду,стыдом,М,0.0
2466,субстанции,субстанции,субстанцию,субстанция,субстанции,субстанцией,Ж,0.0
2467,субъекта,субъекте,субъекта,субъект,субъекту,субъектом,М,1.0
2468,суверенитета,суверенитете,суверенитет,суверенитет,суверенитету,суверенитетом,М,0.0
